"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"97",7,13,27,12,6,27,13,11,10,11,24,20,23,22,11,23,12,7,73,64,25,23,11,10,11,16,52,8,13,13,9,27,22,11,11,66,46,65,13,14,69,12,21,11,17,12,14,14,13,12
"98",24,24,29,15,16,14,30,16,22,12,9,8,235,26,24,18,11,20,23,12,438,13,11,14,18,10,11,14,22,54,17,26,22,22,16,254,19,23,11,360,10,12,72,26,18,20,13,100,18,15
"99",12,327,380,16,19,28,12,12,9,38,9,113,13,11,12,8,282,22,10,13,11,11,32,317,14,15,19,22,14,20,18,29,33,304,11,19,41,10,11,21,21,12,8,53,10,51,10,30,19,67
"100",18,41,14,9,17,15,12,23,14,14,7,11,10,11,NA,13,9,9,24,19,27,NA,29,24,NA,NA,17,10,14,8,NA,11,22,16,20,11,12,15,8,6,10,25,15,14,30,11,18,11,8,14
"101",9,16,11,11,52,9,30,15,15,16,13,16,9,9,14,366,13,13,29,16,14,NA,10,21,18,17,22,491,18,83,38,58,45,15,11,19,8,14,15,13,12,14,49,NA,11,23,18,24,21,48
"102",13,39,9,7,28,8,21,10,12,24,7,26,16,10,25,15,9,28,10,485,17,38,7,15,11,9,6,16,157,27,12,16,25,34,162,10,10,37,9,82,36,12,28,15,9,36,75,11,25,17
"103",9,8,17,29,62,20,14,23,22,10,11,30,344,49,22,15,12,17,9,49,12,448,213,55,39,10,428,58,14,22,18,14,23,89,59,28,12,9,17,54,9,9,7,321,13,349,36,63,36,18
"104",16,12,27,87,9,38,14,14,11,22,15,230,14,29,18,19,9,16,27,211,10,20,12,386,35,15,18,46,394,22,13,14,65,16,29,28,40,9,13,11,18,51,25,15,14,22,9,12,25,15
"105",139,15,38,11,17,39,9,10,36,12,18,17,9,25,53,26,10,11,43,12,14,11,50,146,27,20,10,12,23,14,137,21,10,10,32,12,11,16,97,16,168,41,40,9,12,13,17,44,25,16
"106",15,119,48,17,10,22,14,40,25,17,144,24,16,21,179,20,10,159,17,26,12,17,11,14,26,12,8,9,11,8,8,8,24,20,9,9,14,58,174,9,45,20,21,11,23,13,11,11,9,10
"107",13,20,26,16,10,58,23,29,77,43,83,10,18,21,11,19,12,14,34,13,14,97,12,19,15,64,24,86,19,16,28,26,25,93,11,12,63,21,25,11,23,12,15,13,13,11,17,13,13,8
"108",11,14,12,38,107,42,67,19,33,41,11,14,45,18,8,58,30,40,18,12,12,20,9,9,71,102,31,60,18,20,25,18,25,11,11,10,11,112,13,16,11,43,11,9,29,10,11,31,10,13
"109",13,13,8,22,14,32,8,14,10,12,22,9,9,9,11,6,12,26,13,9,26,37,25,14,15,10,7,14,20,12,10,57,10,18,9,10,8,12,9,11,16,61,51,10,10,9,15,17,8,60
"110",15,361,9,9,14,20,9,10,12,23,32,15,378,10,9,14,13,45,77,11,18,92,12,19,15,11,369,7,19,10,10,16,9,9,30,40,10,366,18,10,8,125,19,11,37,34,13,19,27,21
"111",11,19,216,206,11,9,10,8,22,13,18,14,13,11,14,11,15,18,11,11,16,20,16,28,8,20,15,12,8,14,14,12,27,11,185,9,9,15,17,12,12,11,35,14,11,167,17,22,11,17
"112",177,23,42,18,26,14,16,22,11,10,13,153,10,29,18,185,94,19,27,12,12,10,10,14,29,14,35,19,8,10,12,12,14,11,229,11,34,23,12,8,24,23,18,15,78,11,9,19,11,12
"113",9,23,11,13,16,10,14,14,10,10,12,13,16,8,105,15,32,9,8,46,13,10,10,18,17,13,132,47,18,21,10,19,16,107,13,15,11,10,8,15,136,24,18,10,9,11,14,31,10,8
"114",10,10,19,9,13,9,20,16,41,27,13,11,15,19,25,36,8,11,262,21,17,35,14,39,9,238,18,9,35,10,15,18,25,9,15,32,51,8,230,23,10,15,237,31,13,7,11,10,13,7
"115",9,35,23,12,67,19,46,17,226,13,11,37,12,265,11,12,20,10,17,11,26,17,262,11,15,12,36,12,26,10,19,19,254,224,18,11,27,16,16,21,16,14,10,11,11,21,13,12,31,10
"116",15,56,27,17,24,21,13,19,7,15,9,15,27,15,10,14,13,23,11,8,40,41,13,8,14,11,18,20,20,13,14,47,51,13,20,31,12,37,17,22,12,15,15,14,34,42,19,30,20,10
"117",61,13,14,11,18,14,14,12,58,45,17,21,7,12,55,13,18,14,13,12,16,13,9,19,10,12,10,12,13,14,23,8,10,32,9,20,16,19,9,9,15,15,19,11,19,16,14,8,14,19
"118",16,29,11,11,13,180,9,14,11,13,9,15,10,190,11,13,15,196,11,49,16,182,13,47,10,11,11,13,12,11,10,9,18,20,9,22,12,40,11,18,16,190,14,11,19,10,19,13,17,10
"119",10,56,33,239,15,34,22,39,47,7,13,45,28,12,13,10,277,12,22,30,29,12,77,11,10,20,59,23,13,13,58,9,9,9,13,32,12,22,36,12,27,262,30,27,29,24,22,29,9,NA
"120",19,18,10,9,34,37,19,87,9,27,21,22,227,20,23,48,33,12,14,31,34,22,7,11,68,11,13,20,18,13,73,11,54,28,36,9,16,34,41,20,11,12,20,10,25,22,14,41,35,17
"121",8,25,129,223,13,8,16,34,17,18,185,NA,22,NA,16,14,14,18,20,22,8,11,12,13,12,20,NA,21,11,14,9,9,16,20,12,14,11,17,11,10,NA,10,30,NA,14,21,11,12,20,11
"122",12,11,13,19,27,15,20,10,12,19,12,15,15,12,14,108,16,17,54,12,14,10,20,46,39,12,10,10,20,37,15,81,26,94,38,10,89,33,9,10,10,28,11,21,12,91,76,12,15,24
"123",18,21,12,14,120,14,9,33,22,11,11,12,16,45,41,10,192,19,45,16,13,174,12,18,38,11,7,159,9,12,26,11,11,10,16,176,9,8,8,10,8,13,8,11,34,12,12,10,10,39
